ID	date	tweet	is_subjective	sentiment	is_offensive	is_targeted	target
1269239288279023618	Jun 06 2020	ئەوەی زۆر پێدەکەنێ کێشەی زۆرە ئەوەی زۆر دەگرێ کەسایەتی پاک و سادەیە	yes (+)	mixed	no (-)	no (-)	other
1269739642959679495	Jun 07 2020	فەڕڕەیەک بە ناو ڕەسمی پرۆفایلی فەیسبووکی میللەتی کورد زۆر لە بەزمی بەزم کۆمیدی ترە.	yes (+)	mixed	no (-)	no (-)	other
1269680785180823555	Jun 07 2020	ناشرینترین کەس ئەو کەسەیە کە هەڵەکانت تۆمار دەکات، بۆ کاتی عاجز بوون. 🙃💔	yes (+)	negative	no (-)	no (-)	other
1269676557632667650	Jun 07 2020	ئیمڕۆ هاوکارەکەم وتی تەک مناڵەکانا چووگین بۆ دووچەرخەسواری. وتم:'' ئەی خانمت؟". جۆڕێک مۆڕی بردەو لێم حەزرەت محەمەو لە کافرەکان نەیبردوو!	yes (+)	negative	no (-)	no (-)	other
1269724352779620358	Jun 07 2020	بە خۆر بڵێ کیس و شت نەکا وە با، مانگیش شەوانە نیگاو بۆ نەکا.	yes (+)	neutral	no (-)	no (-)	other
1269458551426211842	Jun 07 2020	ئیشێ من ئەوەیە هەموو ڕۆژێ لە خەوێ‌ هەستم برێم:" ئەوڕۆ تەواو خەوێ خۆ ڕاست ئەکەمۆ".🤷🏻‍♀️	yes (+)	negative	no (-)	no (-)	other
1269645584102760448	Jun 07 2020	ئەرێ ئێوەش ئاوان؟ لە ماڵەوە بێزارن و و کە دەچیتە دەرەوە هەست بە ترس و قەلەقی دەکەی ئیتر هیچ خۆشیەکی نییە هەرە کورەنتینە بکرێین باشترە	yes (+)	negative	no (-)	no (-)	other
1269720146689642497	Jun 07 2020	چەند جوانە، ئەو بێدەنگیەی لە ئاست مرۆڤە بێ شعورەکاندا دەینوێنی 🌼	yes (+)	mixed	no (-)	no (-)	other
1269678278874406914	Jun 07 2020	سادەیی هەرچەندە ئازاری زۆرە بەڵام لەزەتێکیشی هەیە کە هەرگیز مرۆڤە لوت بەرزەکان پێی ناگەن	yes (+)	mixed	no (-)	no (-)	other
1269723558902628356	Jun 07 2020	کە بە مناڵی ڕەسمە کۆنەکانی دایکمم ئەبینی ڕەش و سپییە من وام ئەزانیه هەر بەڕاست دنیا ئەوکات ڕەش و سپیبووە دوایی ڕەنگاوڕەنگ بووە😁	yes (+)	positive	no (-)	no (-)	other
1269707692429410306	Jun 07 2020	هێندە بۆ بەدەسهێنانی تۆ هەوڵی بێسودمان دا وەکو مناڵی ڕاکردوو بە دوای چۆلەکەی فڕیودا	yes (+)	negative	no (-)	no (-)	other
1269705030598262785	Jun 07 2020	نە دایم زەوقم وابێ بە کچی خەڵک ئیشکا ♥️ بەغەڵەت تێگەشتن و چۆنیش تێگەشتن کەیفی خۆتانە	yes (+)	mixed	no (-)	no (-)	other
1269667255681462274	Jun 07 2020	ئەگەر لەو ماوەیە فۆڵۆوەرست دابەزی ئەوا هیچ بێتاقەت مەبە، چونکە پۆلی 12ەکانن وازیان لە توویتەر هینایە و لۆ خۆیان دەخینن 🤞🏻	yes (+)	neutral	no (-)	no (-)	other
1269673384054591490	Jun 07 2020	تادێ شێعرم خۆشتر ئەوێت، چوونکە شێعر وەک شۆخێکی دوودڵ وایە، هەموو ڕۆژێ جێ و کاتی ژوان دیاری ئەکات بە دەگمەن دێ یا هەر نایەت پەشێو	yes (+)	positive	no (-)	no (-)	other
1269759705410342917	Jun 07 2020	تویتەری کۆپی کراو زۆر دەبینم ئەو ماوەییە نازانم ئاکاونتی فەیکم فۆڵو و کردییە دیارە😒	yes (+)	negative	no (-)	no (-)	other
1269701953241702412	Jun 07 2020	هەوڵ مەدە وەکو کەس بیت بیرت بێت نوسخەی ئەسڵی گرانترە لە کۆپی😉	yes (+)	neutral	no (-)	no (-)	other
1269897924449837061	Jun 08 2020	قسەکانتان بکەن ڕەخنە و پێشنیارەکانتان بۆم گرنگن	yes (+)	neutral	no (-)	no (-)	other
1269948813420224517	Jun 08 2020	بەختەوەرترینی ئەو مرۆڤانە ئەوەن کە بە هەموو بەشێکی خودا ڕازین، چوونکە خودا بۆتە هۆی ئاسودەیییان.	yes (+)	positive	no (-)	no (-)	other
1269993368668516353	Jun 08 2020	ڕامانا ژیانێ بتنێ یا د خەباتکرنێ دا سەرکەفتن و شکەستن یێن د دەستێ خودای دا، لەوڕادا پێکڤە داکوکیێ ل خەباتکرنێ بکەین	yes (+)	mixed	no (-)	no (-)	other
